Task ID|Priority|Phase|Category|Title|Component / File|Effort|Status|Acceptance Criteria
ADM-FE-005|P0 - Critical|Phase 5: Frontend Plumbing|State & Auth|Token Storage & SessionController|apps/kh_admin/lib/core/auth/|2h|Completed|Secure token persistence, silent 401 refresh, and reactive auth state in Riverpod
ADM-FE-006|P0 - Critical|Phase 5: Frontend Plumbing|Routing|GoRouter with Auth Guards & Query State|apps/kh_admin/lib/core/router/app_router.dart|1.5h|Completed|Auth redirect guard and query params for selection/filter state preservation
ADM-FE-007|P0 - Critical|Phase 5: Frontend Plumbing|UI Shell|KhAdminScaffold Shell (SH-ADM-01)|apps/kh_admin/lib/core/shell/kh_admin_scaffold.dart|2.5h|Completed|Sidebar navigation, topbar with admin name & logout, responsive drawer <1280px
ADM-FE-008|P0 - Critical|Phase 6: Frontend Features|UI Screen|Admin Login Screen (ADM-S01)|apps/kh_admin/lib/features/auth/presentation/login_screen.dart|2h|Completed|Password-only login screen with Art-Deco card frame, loading, and error states
ADM-FE-009|P0 - Critical|Phase 6: Frontend Features|Data Model|Freezed Taxonomy Models & DTOs|apps/kh_admin/lib/features/taxonomy/model/|1.5h|Completed|Freezed/json_serializable models parsing category and region JSON responses
ADM-FE-010|P0 - Critical|Phase 6: Frontend Features|Data Repository|Typed TaxonomyRepository|apps/kh_admin/lib/features/taxonomy/repository/taxonomy_repository.dart|1.5h|Completed|Repository wrapping ApiClient for categories & regions CRUD and deactivate
ADM-FE-011|P0 - Critical|Phase 6: Frontend Features|State Management|Riverpod TaxonomyController|apps/kh_admin/lib/features/taxonomy/controller/taxonomy_controller.dart|2h|Completed|AsyncNotifier family over TaxonomyKind with optimistic mutation and cache invalidation
ADM-FE-012|P0 - Critical|Phase 6: Frontend Features|UI Component|TaxonomyTree Widget (SH-ADM-14)|apps/kh_admin/lib/features/taxonomy/presentation/taxonomy_tree.dart|2.5h|Completed|2-level expandable tree, dimmed inactive rows with badge chip, show/hide filter
ADM-FE-013|P0 - Critical|Phase 6: Frontend Features|UI Component|NodeEditorPanel Widget (SH-ADM-08)|apps/kh_admin/lib/features/taxonomy/presentation/node_editor_panel.dart|2.5h|Completed|Side editor panel with EN/AR fields (RTL), icon picker, displayOrder, and Deactivate dialog
ADM-FE-014|P0 - Critical|Phase 6: Frontend Features|UI Screen|TaxonomyScreen (ADM-S14 & ADM-S15)|apps/kh_admin/lib/features/taxonomy/presentation/taxonomy_screen.dart|2h|Completed|Shared screen for Categories and Regions, empty states, validation banners, toasts
ADM-FE-015|P1 - High|Phase 6: Frontend Features|Localization|ARB Localization Scaffolding|apps/kh_admin/lib/l10n/|1h|Completed|app_en.arb and app_ar.arb for UI chrome labels and action buttons
ADM-FE-016|P1 - High|Phase 7: Frontend QA|Testing|Frontend Unit & Widget Tests|apps/kh_admin/test/|2h|Completed|taxonomy_controller_test and login_screen_test passing
ADM-FE-017|P0 - Critical|Phase 7: Frontend QA|Testing|Flutter Analyze & Test Suite Pass|apps/kh_admin/|0.5h|Completed|flutter analyze and flutter test pass cleanly
ADM-DOC-001|P1 - High|Phase 8: Release|Documentation|Spec Docs & Deviation Notes Reconciliation|docs/|1h|Pending|Reconcile SAM-GAP-9, API Route Inventory, Frontend Architecture, and CLAUDE.md
ADM-E2E-001|P0 - Critical|Phase 8: Release|Verification|End-to-End Click-Through & Verification|Local environment|1.5h|Pending|Complete E2E flow: seed -> backend up -> web login -> taxonomy CRUD -> audit log check
ADM-GIT-001|P1 - High|Phase 8: Release|Version Control|Staged Commits & Draft PR Creation|Git repository|0.5h|Pending|6 atomic staged commits on feat/checkpoint-1-admin-taxonomy; draft PR opened
